START TRAINING
EPOCH 1
LOSS: 0.437247933447361
EPOCH 2
LOSS: 0.4061801567673683
EPOCH 3
LOSS: 0.3907646596431732
EPOCH 4
LOSS: 0.3884230896830559
EPOCH 5
LOSS: 0.38658002242445944
EPOCH 6
LOSS: 0.3972803927958012
EPOCH 7
LOSS: 0.38788237869739534
EPOCH 8
LOSS: 0.37426444739103315
EPOCH 9
LOSS: 0.3717749878764153
EPOCH 10
LOSS: 0.3702233351767063
EPOCH 11
LOSS: 0.37807034105062487
EPOCH 12
LOSS: 0.3792045921087265
EPOCH 13
LOSS: 0.36435762196779253
EPOCH 14
LOSS: 0.37518543750047684
EPOCH 15
LOSS: 0.3822444573044777
TRAINING FINISHED
